video_id,uploader,age,category,length,views,rating,ratings_count,comments_count,related_videos
dMH0bHeiRNg,judsonlaipply,415.0,Comedy,360.0,4.2513416E7,4.68,87520.0,22718.0,"OxBtqwlTMJQ,1hX1LxXwdl8,NvVbuVGtGSE,Ft6fC6RI4Ms,plv1e3MvxFw,1VL-ShAEjmg,y8k5QbVz3SE,weRfgj_349Q,_MFpPziLP9o,0M-xqfP1ibo,n4Pr_iCxxGU,UrWnNAMec98,QoREX_TLtZo,I-cm3GF-jX0,doIQXfJvydY,6hD3gGg9jMk,Hfbzju1FluI,vVN_pLl5ngg,3PnoFu027hc,7nrpwEDvusY"
4c_Grdrx7t0,horsetak,0.0,UNA,210.0,2.4133454E7,1.93,713.0,132.0,
0XxI-hvPRRA,smosh,286.0,Comedy,194.0,2.0282464E7,4.49,80710.0,35408.0,"ut5fFyTkKv4,cYmeG712dD0,aDiNeF5dqnA,lNFFR1uwPGo,5Iyw4y6QR14,N1NO0iLbEt0,YtmGrR0tR7E,GZltV9lWQL4,qUDLSsSrrRA,wpQ1llsQ7qo,u9w2z-xtmqY,txVJgU3n72g,M6KcfOAckmw,orkbRVgRys0,HSuSo9hG_RI,3H3kKJLQgPs,46EsU9PmPyk,nn4XzrI1LLk,VTpKh6jFS7M,xH4b9ydgaHk"
1dmVU08zVpA,NBC,670.0,Entertainment,165.0,1.6087899E7,4.79,30085.0,5945.0,"x0dzQeq6o5Q,BVvxtb0euBY,Tc4iq0IaPgE,caYdEBT36z0,Wch5akcVofs,FgN4E9-U82s,a0ffAHbxsLY,BaR9j3-radY,jbNCtXtAwUo,XJBfdkDlubU,c6JRE4ZBcuA,nRGZJ8GMg3g,BfR7iz2UqZY,cVHrwiP2vro,CowiFyYfcH4,uYxKs7xXopc,dzYaq2yOCb8,9o_D-M91Hhc,0O04jXoZmgY,XphZDHtt3D0"
RB-wUgnyGv0,ChrisInScotland,506.0,Entertainment,159.0,1.5712924E7,4.78,8222.0,1996.0,"RB-wUgnyGv0,Bdgffnf8Hfw,YSLFsov31dA,KDmGXlOJPbQ,Hr-48XYy9Ns,6E1s0LDL-uM,0j3iXi0V3hk,uEXlbUV45pw,KvMsc6OdKWc,9kGIbR7dqyQ,pEu1muGrREA,DolERIvMbzM,gPtR2eSeDIw,3EpF4fRoT4U,Dl2roCEKffM,QERUjf8fbII,9oviIyGYolo,dblCjXdP7bo,IMPGIaXCnaA,TdGgKd4ZyuY"
QjA5faZF1A8,guitar90,308.0,Music,320.0,1.5256922E7,4.84,120506.0,38393.0,"O9mEKMz2Pvo,Ddn4MGaS3N4,CBgf2ZxIDZk,r2BOApUvFpw,dVUgd8ot6BE,OUi9-jqq_i0,AbndgwfG22k,K3fvB4QO1qo,6rIJJp6aMlA,9wItsn3r_kc,cueXmJDbbvU,Ua3hZXfNZOE,Z2Rl5BsnfdY,pZ9jrBg4Lwc,dt1fB62cGbo,idb2dUtTpuU,j01x2lAFRwk,LmcjAGJOPR0,kFhQM7R4yjM,rNNcMDZn2Qk"
-_CSo1gOd48,tasha,190.0,People & Blogs,205.0,1.3199833E7,3.71,38045.0,9904.0,"GkVBObv8TQk,7XLt3Xwk3tQ,sr6GxRTdVlI,B1VllaFM17s,uwYkpZ7w5zc,4i4FWzjFTD8,HSrnW-5ygGI,5dBqnUbWOvg,4jvWyog4mWc,PZzkv2lVWeo,AxM5-6ASt_Y,y14JVDMHTUI,EuB8ARGq4og,motWHRAG7vM,IcG5txNV86U,C2PtULZvEpk,EOLEVxmZr1A,156Fi29rrMc,LjeXlIhTrgY,3oLq8kUVYco"
49IDp76kjPw,TexMachina,381.0,Comedy,59.0,1.1970018E7,4.55,22579.0,5280.0,"brh6KRvQHBc,PICUHGauaj8,VLakIz4VzVo,RD7rhrm1wEo,qG7TQlDPRHk,_gyL1Hf0hjg,_1eRU6zZrJM,iIls6F7pI1Q,rtpJ4ZdFodU,4jvWyog4mWc,vg5eoNgxHn0,87BKJzxeJPY,xVf7wIePbD0,jTMwm0hioKA,6grHp7kOGMU,Z7FqXfye2io,NeZFDgsTCJc,5g3EwTZffn4,XHDWL1n1oFg,hl7RHY2H6-A"
tYnn51C3X_w,CowSayingMoo,516.0,Music,231.0,1.1823701E7,4.67,29479.0,10367.0,"zvzPK1_UkRs,3HjIljJd-o0,SMF2Eb0Wa_I,pHFC6rlGsH8,wBeXZeQn0CI,QE_v1HbPe18,Z3EdWhEOfcE,eullRZSuJbw,hlhPfFnstR4,6m4BLQ-xwak,VNsvE33pRSw,BS6xcmwFU2w,ao_NVUCyz-0,JaaF9t1p6ME,A8hVhW7QRS8,236Zo_6Cx9M,WWR7yriz7Ik,RX40yCXqAT0,6gebRSf226M,r0-qxtdI9jE"
pv5zWaTEVkI,OkGo,531.0,Music,184.0,1.1672017E7,4.83,42386.0,10082.0,"W4WdLT6_Hz0,jK6V5GZDOe4,xQtUycLro-s,dOr3G1jsofs,wdwuM8JGaHM,70dwvafpKhM,mvyc1AjI7UA,YJvtmoR9EYk,ykZtlMDc8go,iSnQZaCuq6Y,TIBRpeBV1tI,_JTR00VNRPo,kD3qx7PndCA,KYPk6PztNHM,4jvWyog4mWc,yG9o7z7S_Yc,yJDiGVTg1DY,xngs9F89mr8,Gi5WwiNuWBo,JkZIU0eVwBc"
